# engine_labels.csv - engine function LABEL registry (attribution + names).
#
# Distinct from build/gen/symbol_names.csv (generated from src/ @address).
# This file is backlog-only; src/ wins and rows covered by src/ are removed.
# These are LABELS: real names + classes + prototypes attributed to v1.0.0.76
# engine functions from two sources. They graduate into symbol_names.csv + src/
# only through src/ @address annotations when actually byte-matched. Used to grow the partition + guide matching
# and applied into build/ghidra-named (the comprehension DB) for readable decomp.
#
# Sources:
#   tomalla     - refs/tomalla-gruntz manual annotations harvested for v1.0.1.77
#                 (build/tomalla-harvest/address_dict.csv), re-anchored to v0.76
#                 via the v0.76<->v0.77 patch offset map (build/patch-diff/,
#                 17 piecewise offset levels). 52 v1.01-CHANGED funcs are skipped.
#                 Real names + prototypes + owning class.
#   rtti-vptr   - ctor/dtor discovered by xref to ??_7<Class>@@6B@: a function
#                 storing the class vftable into [this+0] (MOV [reg],<vft>) is a
#                 ctor/dtor (docs/matching-patterns.md vtable-pointer store).
#                 Attributed to the most-derived class (last vptr store in a ctor).
#   rtti-vtable - dtor body reached via the vftable slot-0 vector-deleting-destructor
#                 thunk chain.
# (Class virtuals are already labeled Class::vfunc_N in build/ghidra-named by the
#  prior enrichment; not re-listed here.)
#
# Columns: rva,name,class,prototype,kind,source,confidence
#   rva=v0.76 .text RVA (hex, ImageBase 0x400000). kind=ctor|dtor|vfunc|method|free.
#   confidence: high=unique attribution; med=ICF-folded / multi-vftable function.
rva,name,class,prototype,kind,source,confidence
0x13dd50,WAP32::CGameMgr::UnknownVirtualMethod1,WAP32::CGameMgr,"bool WAP32::CGameMgr::UnknownVirtualMethod1(WAP32::CGameWnd* pGameWnd, char* szCmdLine)",vfunc,tomalla,high
0x141cc0,UnknownFilch::UnknownFilch,UnknownFilch,UnknownFilch::UnknownFilch(),ctor,tomalla,high
0x141dc0,,CDirectDrawMgr,,import-caller,"import:DirectDrawCreate",high
0x152650,UnknownPettigrew::VirtualMethodUnknown1C,UnknownPettigrew,void UnknownPettigrew::VirtualMethodUnknown1C(),vfunc,tomalla,high
0x154f80,UnknownSeverus::VirtualMethodUnknown48,UnknownSeverus,void UnknownSeverus::VirtualMethodUnknown48(),vfunc,tomalla,high
0x155160,UnknownSeverus::VirtualMethodUnknown4C,UnknownSeverus,void UnknownSeverus::VirtualMethodUnknown4C(),vfunc,tomalla,high
0x155720,UnknownCGruntzMgrLucius::~UnknownCGruntzMgrLucius,UnknownCGruntzMgrLucius,UnknownCGruntzMgrLucius::~UnknownCGruntzMgrLucius(),dtor,tomalla,high
0x1558b0,UnknownClassCGruntzMgrHarryPotter::~UnknownClassCGruntzMgrHarryPotter,UnknownClassCGruntzMgrHarryPotter,UnknownClassCGruntzMgrHarryPotter::~UnknownClassCGruntzMgrHarryPotter(),dtor,tomalla,high
0x155900,UnknownClassCGruntzMgrHarryPotter::UnknownVirtualMethod18,UnknownClassCGruntzMgrHarryPotter,"bool UnknownClassCGruntzMgrHarryPotter::UnknownVirtualMethod18(HWND hWnd, int unknown1, int unknown2, int unknown3, int flagsUnknown)",vfunc,tomalla,high
0x155e20,UnknownClassCGruntzMgrHarryPotter::UnknownVirtualMethod1C,UnknownClassCGruntzMgrHarryPotter,void UnknownClassCGruntzMgrHarryPotter::UnknownVirtualMethod1C(),vfunc,tomalla,high
0x156cb0,UnknownCGruntzMgrLucius::UnknownCGruntzMgrLucius,UnknownCGruntzMgrLucius,"UnknownCGruntzMgrLucius::UnknownCGruntzMgrLucius(UnknownClassCGruntzMgrHarryPotter* pUnknownHarryPotter, int unknown2, int unknown3) : UnknownCGruntzMgrHogwarts(unknown2)",ctor,tomalla,high
0x156df0,UnknownSeverus::~UnknownSeverus,UnknownSeverus,UnknownSeverus::~UnknownSeverus(),dtor,tomalla,high
0x156e80,UnknownSeverus::VirtualMethodUnknown44,UnknownSeverus,void UnknownSeverus::VirtualMethodUnknown44(),vfunc,tomalla,high
0x156f20,UnknownHagrid::VirtualMethodUnknown20,UnknownHagrid,void UnknownHagrid::VirtualMethodUnknown20(),vfunc,tomalla,high
0x156f50,UnknownHagrid::~UnknownHagrid,UnknownHagrid,UnknownHagrid::~UnknownHagrid(),dtor,tomalla,high
0x156fc0,UnknownHagrid::VirtualMethodUnknown18,UnknownHagrid,bool UnknownHagrid::VirtualMethodUnknown18(),vfunc,tomalla,high
0x1574a0,UnknownDraco::VirtualMethodUnknown20,UnknownDraco,void UnknownDraco::VirtualMethodUnknown20(),vfunc,tomalla,high
0x1574b0,UnknownDraco::~UnknownDraco,UnknownDraco,UnknownDraco::~UnknownDraco(),dtor,tomalla,high
0x1574d0,UnknownCGruntzMgrLucius::VirtualMethodUnknown14,UnknownCGruntzMgrLucius,void UnknownCGruntzMgrLucius::VirtualMethodUnknown14(),vfunc,tomalla,high
0x157530,UnknownMinerva::VirtualMethodUnknown14,UnknownMinerva,void UnknownMinerva::VirtualMethodUnknown14(),vfunc,tomalla,high
0x157550,UnknownMinerva::~UnknownMinerva,UnknownMinerva,UnknownMinerva::~UnknownMinerva(),dtor,tomalla,high
0x157600,UnknownAlbus::VirtualMethodUnknown20,UnknownAlbus,void UnknownAlbus::VirtualMethodUnknown20()  [ICF-folded: UnknownHermiona::VirtualMethodUnknown20],vfunc,tomalla,med
0x157610,UnknownAlbus::~UnknownAlbus,UnknownAlbus,UnknownAlbus::~UnknownAlbus()  [ICF-folded: UnknownHermiona::~UnknownHermiona],dtor,tomalla,med
0x1576c0,UnknownCGruntzMgrLucius::VirtualMethodUnknown1C,UnknownCGruntzMgrLucius,"void UnknownCGruntzMgrLucius::VirtualMethodUnknown1C()  [ICF-folded: UnknownAlbus::VirtualMethodUnknown18, UnknownHermiona::VirtualMethodUnknown18]",vfunc,tomalla,med
0x1576f0,UnknownSirius::VirtualMethodUnknown20,UnknownSirius,void UnknownSirius::VirtualMethodUnknown20(),vfunc,tomalla,high
0x157700,UnknownSirius::~UnknownSirius,UnknownSirius,UnknownSirius::~UnknownSirius(),dtor,tomalla,high
0x157790,UnknownCGruntzMgrLucius::VirtualMethodUnknown20,UnknownCGruntzMgrLucius,void UnknownCGruntzMgrLucius::VirtualMethodUnknown20()  [ICF-folded: UnknownSirius::VirtualMethodUnknown18],vfunc,tomalla,med
0x1577a0,UnknownPettigrew::VirtualMethodUnknown14,UnknownPettigrew,void UnknownPettigrew::VirtualMethodUnknown14(),vfunc,tomalla,high
0x1577c0,UnknownPettigrew::~UnknownPettigrew,UnknownPettigrew,UnknownPettigrew::~UnknownPettigrew(),dtor,tomalla,high
0x157ae0,UnknownPettigrew::VirtualMethodUnknown18,UnknownPettigrew,bool UnknownPettigrew::VirtualMethodUnknown18()  [ICF-folded: UnknownMinerva::VirtualMethodUnknown1C],vfunc,tomalla,med
0x157bc0,UnknownMinerva::ClearUnknownMap,UnknownMinerva,void UnknownMinerva::ClearUnknownMap(),method,tomalla,high
0x1588f0,UnknownDraco::VirtualMethodUnknown24,UnknownDraco,void UnknownDraco::VirtualMethodUnknown24(),vfunc,tomalla,high
0x1591e0,UnknownHermiona::VirtualMethodUnknown1C,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown1C(),vfunc,tomalla,high
0x1591f0,UnknownHermiona::VirtualMethodUnknown3C,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown3C(),vfunc,tomalla,high
0x159a70,UnknownHermiona::VirtualMethodUnknown24,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown24(),vfunc,tomalla,high
0x159c90,UnknownHermiona::VirtualMethodUnknown28,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown28(),vfunc,tomalla,high
0x159cc0,UnknownHermiona::VirtualMethodUnknown2C,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown2C(),vfunc,tomalla,high
0x159d90,UnknownHermiona::VirtualMethodUnknown38,UnknownHermiona,void UnknownHermiona::VirtualMethodUnknown38(),vfunc,tomalla,high
0x15ccd0,UnknownRemus::UnknownRemus,UnknownRemus,"UnknownRemus::UnknownRemus(UnknownClassCGruntzMgrHarryPotter* pUnknownHarryPotter, int unknown2, int unknown3) : UnknownCGruntzMgrLucius(pUnknownHarryPotter, unknown2, unknown3)",ctor,tomalla,high
0x15d1f0,UnknownRemus::VirtualMethodUnknown1C,UnknownRemus,void UnknownRemus::VirtualMethodUnknown1C(),vfunc,tomalla,high
0x15d500,UnknownRemus::VirtualMethodUnknown40,UnknownRemus,void UnknownRemus::VirtualMethodUnknown40(),vfunc,tomalla,high
0x15d630,UnknownRemus::VirtualMethodUnknown3C,UnknownRemus,void UnknownRemus::VirtualMethodUnknown3C(),vfunc,tomalla,high
0x15d680,UnknownRemus::VirtualMethodUnknown44,UnknownRemus,void UnknownRemus::VirtualMethodUnknown44(),vfunc,tomalla,high
0x1611b0,UnknownRemus::VirtualMethodUnknown20,UnknownRemus,void UnknownRemus::VirtualMethodUnknown20(),vfunc,tomalla,high
0x1611c0,UnknownRemus::~UnknownRemus,UnknownRemus,UnknownRemus::~UnknownRemus(),dtor,tomalla,high
0x163bf0,UnknownHagrid::VirtualMethodUnknown34,UnknownHagrid,void UnknownHagrid::VirtualMethodUnknown34(),vfunc,tomalla,high
0x163c60,UnknownHagrid::VirtualMethodUnknown1C,UnknownHagrid,void UnknownHagrid::VirtualMethodUnknown1C(),vfunc,tomalla,high
0x165210,UnknownSeverus::VirtualMethodUnknown58,UnknownSeverus,void UnknownSeverus::VirtualMethodUnknown58()  [ICF-folded: UnknownSirius::VirtualMethodUnknown1C],vfunc,tomalla,med
0x1652c0,UnknownSirius::VirtualMethodUnknown24,UnknownSirius,void UnknownSirius::VirtualMethodUnknown24(),vfunc,tomalla,high
0x1658c0,UnknownAlbus::VirtualMethodUnknown24,UnknownAlbus,void UnknownAlbus::VirtualMethodUnknown24(),vfunc,tomalla,high
0x165a90,UnknownAlbus::VirtualMethodUnknown30,UnknownAlbus,void UnknownAlbus::VirtualMethodUnknown30(),vfunc,tomalla,high
0x165b90,UnknownAlbus::VirtualMethodUnknown1C,UnknownAlbus,void UnknownAlbus::VirtualMethodUnknown1C(),vfunc,tomalla,high
0x1776a0,CNetMgr::ReportError,CNetMgr,"void CNetMgr::ReportError(char* szFile, int lineNumber, HRESULT hResult, HWND hWnd)",method,tomalla,high
0x1780b0,,CNetMgr,,import-caller,"import:DPLAYX.dll!#1",high
0x178280,,CNetMgr,,import-caller,"import:DPLAYX.dll!#2",high
0x1782d0,,CNetMgr,,import-caller,"import:DPLAYX.dll!#1",high
0x17c040,,CDirectDrawMgr,,import-caller,"import:DirectDrawCreate",high
0x18c780,,,,import-caller,"import:FindFirstFileA",low
0x1bf702,,,,import-caller,"import:RegQueryValueExA",med
0x1bf8f8,,,,import-caller,"import:FindFirstFileA",low
0x1c152f,,,,import-caller,"import:GetFileSize",low
0x1c1609,,,,import-caller,"import:FindFirstFileA",low
0x1c176a,,,,import-caller,"import:CreateFileA",low
0x1c7cb3,,,,import-caller,"import:RegCloseKey,RegOpenKeyExA,RegQueryValueExA",med
0x1ccae7,,,,import-caller,"import:RegCloseKey,RegSetValueExA",med
0x1ccb5c,,,,import-caller,"import:RegCloseKey,RegSetValueExA",med
0x1ccbfc,,,,import-caller,"import:RegCloseKey,RegSetValueExA",med
0x1d4ee3,,,,import-caller,"import:RegOpenKeyExA",med
0x1d4f77,,,,import-caller,"import:RegCloseKey,RegCreateKeyExA",med
0x1d4fbd,,,,import-caller,"import:RegCloseKey,RegQueryValueExA",med
0x1d5029,,,,import-caller,"import:RegCloseKey",med
0x1d513b,,,,import-caller,"import:RegCloseKey",med
#
# ---- REZ -> WWD -> zlib asset-load subsystem (rez-trace, labeler aecbb6bb) ----
# Folded from build/openclaw-rez/function_roles.csv. Authoritative Gruntz names
# from string xrefs (CRezDir::Load/OpenSub, RezSync); WWD/RezMgr conventions
# otherwise. unit split: rezmgr/rezsync/fileio/wwd/image/zlib. RezMgr container
# offsets are @unconfirmed (Claw REZ != Monolith RezMgr - reverse from Gruntz).
# (0x83450 RezSync::Init, 0x15d280 CGameLevel::LoadWwd and the 0x1bfxxx CFileIO
#  rows are enriched/corrected in place above; not repeated here.)
#
# RezMgr archive layer (unit=rezmgr):
0x13b0c0,CRezDir::OpenSub,CRezDir,"void* CRezDir::OpenSub(char* name)  [name lookup via CRezDir::FindEntry @0x53c080; dir branch allocs 0x38 CRezDir (ctor @0x53c940), file branch 0x24 CRezItm (ctor @0x53c540); called by RezSync::Init for VRZ/ZZZ/XXX]",method,rez-trace,high
# (0x1fa12 is INSIDE StartUpPrompt @0x01f9b0 (already labeled) - a 'Gruntz.REZ' string
#  xref site, not a function start; not added as a separate row.)
#
# WWD level deserialization (unit=wwd):
0x162af0,WwdFile::ReadPlaneObjects,WwdFile,"int WwdFile::ReadPlaneObjects(...)  [advances source ptr by 0x11c (284 = fixed object record) via lea[esi+0x11c]+rep movs; then 4 length-prefixed strings name/logic/imageSet/sound]",method,rez-trace,high
# (0x1635xx WwdFile::ValidateMapTile - the map-tile bounds checker using format
#  'Plane %s: Bad map tile value (%i) at %i,%i'@0x61ab36 (sprintf @0x51f890) - lives
#  in a functions.csv RECOVERY GAP (0x163510..0x163670); no function row yet, so it
#  cannot be labeled by RVA until boundary recovery carves it. NOT added.)
#
# PID image deserialization (unit=image):
0x148940,,,,rez-trace,"second '.PID' xref; image-format dispatch consumer (entry not pinned)",low
#
# zlib chain leaves (unit=zlib; uncompress/inflate to be byte-MATCHED in Phase 2):
0x185320,_uncompress,,"int uncompress(Bytef* dest, uLongf* destLen, const Bytef* source, uLong sourceLen)  [one-shot inflate wrapper; calls inflate @0x585be0; sole caller is WwdFile::InflateMainBlock @0x560790. zlib 1.0.4 uncompr.c]",free,rez-trace,high
0x185be0,_inflate,,"int inflate(z_streamp z, int f)  [zlib inflate() state machine; drives inflate_blocks @0x5875a0 (matched _inflate_blocks @0x1875a0). zlib 1.0.4 inflate.c]",free,rez-trace,high
0x185ab0,_inflateReset,,"int inflateReset(z_streamp z)  [zlib inflateInit/Reset; calls _inflate_blocks_new @0x587530 (matched). zlib 1.0.4 inflate.c]",free,rez-trace,med
#
# === string-xref pass (Ghidra function boundaries x binary string refs) ===
# Each function below directly loads (push/mov imm32) the listed .rdata string
# literals; role inferred from the WAP32/Gruntz string taxonomy (docs/strings-
# analysis.md) + address contiguity to known anchors. Names are INFERRED
# (source=string-xref): high = self-identifying / unambiguous role; med = role
# certain, exact identity/class inferred. Reproducible: scripts/string_xref_labels.py.
0x141400,CDirectDrawMgr::GetErrorString,CDirectDrawMgr,"[maps DDERR_*/HRESULT -> symbol + human description; self-IDs module 'DirectDrawMgr'; uses WAP32 reporter fmt '%s, line %i: %s (%i) - %s'; same DDrawMgr TU as DirectDrawCreate caller @0x141dc0]",method,string-xref,high
0x133590,DirectInputMgr2::GetErrorString,DirectInputMgr2,[maps DIERR_* -> symbol + description; self-IDs 'DirectInputMgr2'; same DinMgr2 TU as DirectInputCreateA caller @0x132ce0],method,string-xref,high
0x138150,DirectSoundMgr::GetErrorString,DirectSoundMgr,[maps DSERR_* -> symbol + description; self-IDs 'DirectSoundMgr'; same Dsndmgr TU as DirectSoundCreate caller @0x136550],method,string-xref,high
0x00a3b0,CreateGameObjectByName,,[WWD object factory: dispatches on object type-name string (ActionArea/AmbientSound/AniCycle/Boomerang/Brickz/CheckpointTrigger/CoveredPowerup/... full WAP object roster) to construct the matching CWap* object; abuts CActionArea::CActionArea @0x07da0],free,string-xref,high
0x08ff30,CGruntzMgr::BuildMoviePath,CGruntzMgr,[formats cutscene path '%c:\Movies\%s' over Gruntz0..8.vob/Logo.vob; CGruntzMgr TU (GetGruntzDriveLetter @0x08fa70 abuts)],method,string-xref,high
0x0f8f30,BuildSoundFontPath,,[formats Miles/DLS soundfont path '%c:\MUSIC\Gruntz.SF2' / 'Gruntz4.SF2'],free,string-xref,high
0x065e80,LoadPickupSprites,,[registers GRUNTZ_PICKUPS_* sprite namespace (59 pickup keys)],free,string-xref,med
0x07c620,LoadPowerupIconSprites,,[loads GAME_INGAMEICONZ_POWERUPZ_* powerup HUD icons; reads CoveredTimeBombTime],free,string-xref,med
0x060150,LoadGruntDeathAnimations,,[GRUNTZ_DEATHZ_* death/exit animation sprite loader; CUserLogic region],free,string-xref,med
0x048470,CGrunt::BuildAnimationKey,CGrunt,[assembles GRUNTZ_<type>_<dir>_<action> sprite-namespace keys; CGrunt TU (CGrunt::CGrunt @0x047a10)],method,string-xref,med
0x0d0120,LoadCursorSprites,,[GAME_CURSORZ_* tool/toy cursor-sprite loader (35 cursor keys + NORMCHIPZ)],free,string-xref,med
0x0e2400,BuildToolToyColorKey,,[builds <COLOR>TOOL/<COLOR>TOY ownership-tint keys across 17 colors],free,string-xref,med
0x0dc060,LoadLevelEffectSprites,,[loads GAME_*/LEVEL_* hazard + GRUNTZ_DEATHZ_* effect sprites/sounds; CGruntzMgr region],free,string-xref,med
0x0d65d0,LoadWarlordSprites,,[WARLORDZ_NAPOLEAN/PATTON/VIKING boss sprite loader],free,string-xref,med
0x0a11d0,LoadAreaLevelTable,,[references AREA1..AREA8 + level/world keys; big map/level load dispatch; CMapMgr region (~CMapMgr @0x09e9e0)],method,string-xref,med
0x093d40,BuildLevelRezPath,,[formats AREA%i_WORLDZ/LEVEL%i/TRAINING%i/'custom\' level resource keys; RezMgr path TU (MakeRezPath @0x091670)],free,string-xref,med
0x0dbc80,BuildWorldLevelPath,,[formats 'WORLDZ\LEVEL%i'/'WORLDZ\TRAINING%i'; BATTLEZ_/MULTI_ mode prefixes; CGruntzMgr region],free,string-xref,med
0x0c20a0,CMultiStartDlg::InitPlayerSlots,CMultiStartDlg,"[multiplayer setup: Human / Computer(easy|normal|difficult), CustomMultiMap/LastMultiMap; CMultiStartDlg TU @0x0c1750]",method,string-xref,med
0x0e44e0,BuildLevelTitleString,,[formats 'Questz: Stage %d of %s' / 'Battlez: %s' / Custom level titles],free,string-xref,med
0x01ed30,DrawBattleStats,,[renders BATTLE STATZ panel labels: Gruntz:/Killz:/Cursez:/Fortz:/Powerupz:],free,string-xref,med
0x018740,GetEndLevelStatLabels,,[Coinz:/Deathz:/Powerupz:/Secretz:/Survivorz:/Time:/Toolz:/Toyz: end-of-level results labels],free,string-xref,med
0x01c210,CheckWarpLetterBonus,,[BOOTY_BOOM/BOOTY_WARP + 'Collect all four WARP letterz...' secret-bonus messages],free,string-xref,med
0x01c9d0,ShowLevelCompleteMessage,,['Level Completed!'/'World Completed!' + WARP-letterz cheat-unlock messages],free,string-xref,med
0x022e60,LoadCheatConfig,,[reads Cheatz/NumCheatz/Cheat%i + ExpMonth/ExpYear cheat-code config],free,string-xref,med
0x082990,GetWorldDisplayName,,"[returns world display name ('Gruntz in Space'/'Honey, I Shrunk the Gruntz!'/'Rocky Roadz'/...); 121B table lookup]",free,string-xref,med
0x018830,LoadBootyCheatState,,[STATEZ_BOOTY/BootyCheatz/Cheat%i + GRUNTZ_WANDGRUNT sprite setup],free,string-xref,low
#
# --- string-xref pass, batch 2: asset/tuning loaders & level validators ---
0x0df050,CProjectile::LoadProjectileSprites,CProjectile,[loads GRUNTZ_<type>_PROJECTILE sprites + *ProjectileTimePerTile tuning (boomerang/gunhat/nerfgun/rock/welder/wingz); CProjectile TU (CProjectile::CProjectile @0x0dec60 abuts)],method,string-xref,med
0x102250,LoadStatusBarTabSprites,,[GAME_STATUSBAR_TABZ_* (game/gruntz/multiplayer tabs) + INGAMEICONZ chipz; CSBI status-bar TU (CSBI_RectOnly @0x101fa0)],method,string-xref,med
0x0b0140,LoadRollingBallHazardSprites,,[LEVEL_ROLLINGBALL_* + GAME_WATER/Hazardz hazard sprites; CRollingBall TU (CRollingBall::CRollingBall @0x0af820)],method,string-xref,med
0x110c10,LoadPyramidBridgeSprites,,[GAME_*PYRAMIDZ + LEVEL_*BRIDGE sprites; CTileTriggerLogic region (CTileTriggerLogic ctor @0x1107f0)],method,string-xref,med
0x025020,LoadBattlezMapConfig,,[Battlez random-map setup: toolz/toyz names + BrickzChance/DefenderChance/EasyDifficulty probability attrs; UnknownClassArrays region @0x024f80],method,string-xref,med
0x05d210,LoadGruntTuningConstants,,[reads grunt timing/transparency attrs: ConversionTime/DeathTouchTime/EntranceSafeTime/GruntGhostTransparencyOn/SafeFlashTime; CUserLogic region],method,string-xref,med
0x04dd50,LoadGruntTypeTable,,"[grunt-type roster (BABYWALKERGRUNT..YOYOGRUNT, ~36) + GAME_*LOOP powerup loop sprites + Conversion/DeathTouch tuning; CGrunt region]",method,string-xref,med
0x0597a0,LoadGruntCombatAnimations,,[GRUNTZ_NORMALGRUNT_BLOCK*/IMPACT* + spring-grunt anims + GAME_CONVERSIONHIT/DEATHTOUCHHIT; CUserLogic region],method,string-xref,med
0x068880,LoadWingzGruntSprites,,[GRUNTZ_WINGZGRUNT_* directional idle/walk/item sprites; CUserLogic region],method,string-xref,med
0x050ce0,LoadVehicleGruntSprites,,[toy/vehicle grunt subset: BABYWALKER/GOKART/JACKINTHEBOX/JUMPROPE/POGOSTICK/SQUEAKTOY/YOYO grunts; CGrunt region],method,string-xref,med
0x06c130,WireTileSwitchLogic,,"['No switch/trigger logic found for plate/switch at: x=%d, y=%d' + GAME_SECRETSWITCH/CrumbleTileDelay; level switch/trigger wiring; CUserLogic region]",method,string-xref,med
0x0d2dd0,ValidateLevelTiles,,"[level-load validator emitting 'Bad <brickz/hold|multi|once-only|secret|time|toggle|up-down switch/trigger/pressure plate> at: x=%d, y=%d' diagnostics across all tile/switch/trigger types]",method,string-xref,med
#
# --- string-xref pass, batch 3: gameplay/asset loaders, MP & save UI ---
0x0b3160,CKitchenSlime::LoadSprites,CKitchenSlime,[LEVEL_KITCHENSLIME_<dir> sprites + KitchenSlimeTimePerTile tuning; CKitchenSlime TU (CKitchenSlime::CKitchenSlime @0x0b23a0 abuts)],method,string-xref,med
0x0b78b0,CNetMgr::SetupMultiplayerServices,CNetMgr,[MULTI_HOSTSERVICES/MULTI_JOINSERVICES + 'Game Name'/'Player Name'/'Service' lobby fields; CNetMgr TU (CNetMgr::CNetMgr @0x0b6000)],method,string-xref,med
0x01e720,BuildPowerupIconKeys,,[assembles GAME_INGAMEICONZ_ + POWERUPZ_* HUD icon keys (sibling of LoadPowerupIconSprites @0x07c620)],free,string-xref,med
0x01a040,LoadGruntEffectSprites,,[GAME_CYCLE100/EXPLOSION/GRUNTBOMBSPRINT/GRUNTFLEX/GRUNTTWITCH + INGAMEICONZ effect sprites],free,string-xref,med
0x0fdc00,LoadBattlezItemConfig,,[toolz/toyz names + BrickzPercent/BrickzChance probabilities; Battlez map-item config (sibling of LoadBattlezMapConfig @0x025020)],free,string-xref,med
0x0dc6d0,BuildGruntTypeNameTable,,[grunt-type name roster BABYWALKERGRUNT..YOYOGRUNT (~36); CGruntzMgr asset-key region],free,string-xref,med
0x0dd540,BuildSpriteImageKeyTable,,[GRUNTZ_*/IMAGEZ_* per-grunt sprite/image namespace key table; CGruntzMgr asset-key region],free,string-xref,med
0x0ddaa0,BuildAnizKeyTable,,[ANIZ_*/GRUNTZ_* animation namespace key table; CGruntzMgr asset-key region],free,string-xref,med
0x057100,LoadGruntAbilityTuning,,[FreezeRadius/HealthRadius ability radii + GAME_ATTACK/FLASH/LIGHTING + LEVEL_ROLLINGBALL effect sprites; CUserLogic region],method,string-xref,med
0x075e90,LoadTerrainTileSprites,,[GAME_/LEVEL_ DIRT/GAUNTLETBRICK/HIDDENITEM/WATER/ROCKBREAK destructible-terrain sprites; CUserLogic region],method,string-xref,med
0x0e2980,LookupToolToyColorKey,,[<COLOR>TOOL/<COLOR>TOY ownership-tint lookup (17 colors); sibling of BuildToolToyColorKey @0x0e2400],free,string-xref,med
0x105e40,LoadRezMachineConfig,,[Rez-machine (grunt foundry) tuning: GAME_REZMACHINE/REZBELTDROP/REZBELTRETRACT + Left/RightMachine*Delay attrs],method,string-xref,med
0x106bb0,LoadChipMachineConfig,,[chip-foundry tuning: GAME_CHIPFALLOUT/CHIPLAND + FallingItem*/NextItem* timing attrs],method,string-xref,med
0x0f9ea0,LoadGameAssetNamespaces,,"[loads GAME_ANIZ/IMAGEZ/SOUNDZ asset namespaces over AREA%i; builds 'Alpha Version, Build %i, Monolith Productions Inc.' banner]",free,string-xref,med
0x0e3f40,DrawSaveGameMenu,,[save-slot UI: 'Saved Game #%i'/'(Empty)' + GAME_DELETE/INFO/OVERWRITE + 'ERROR - Cannot Save Game.'],method,string-xref,med
0x045270,NotifyFortUnderAttack,,['ALERT - Your Fort is under attack!' Warlordz _PANIC notify (NotifyString/NotifyTimer); CWarlord/CFortressFlag region],method,string-xref,med
0x0dba30,BuildMusicCategoryTable,,[AMBIENT%d/INTRO%d/CURSE/MIDIZ/MONOLITH/POWERUP music+ambient sound-category keys; CGruntzMgr region],free,string-xref,med
0x09fe50,LoadMenuStateAssets,,[MENU_ACTIVATE/CURSOR/SELECT + STATEZ_MENU + IMAGEZ/SOUNDZ menu-state asset loader],method,string-xref,med
#
# --- string-xref pass, batch 4: gameplay-feature loaders & state assets ---
0x0ca200,LoadLevelByMode,,[AREA%i/CUSTOMLEVEL + GAME_BATTLEZ/GAME_MULTI + CursorSnapSprite level-mode loader; CGruntzMgr region],method,string-xref,med
0x06eb80,LoadTeleporterGooConfig,,[GAME_TELEPORTLOOP + TimePerGoo/TimePerResource + LEVEL_ROLLINGBALL hazard tuning; CUserLogic region],method,string-xref,med
0x018f00,ShowSecretBonusMessage,,['Secret Bonus Acquired:'/'The Secret of Secretz:' multi message display],free,string-xref,med
0x038d20,LoadCreditzStateAssets,,[CREDITZ/MIDIZ/MONOLITH/PLAY/SOUNDZ splash/credits-state asset keys],free,string-xref,med
0x110860,LoadBridgeMoveSprites,,[GAME_PYRAMIDMOVE + LEVEL_*BRIDGEMOVE/CRUMBLE sprites; CTileTriggerLogic TU (ctor @0x1107f0 +0x70)],method,string-xref,med
0x07b930,LoadGruntCombatTuning,,[CombatTimeout + GAME_FLASH/GAME_LIGHTING_FLASH/LightFx grunt combat tuning; CUserLogic region],method,string-xref,med
0x07be60,LoadGruntResurrectTuning,,[RessurectAIRadius + GAME_FLASH/LightFx resurrect/AI tuning; CUserLogic region],method,string-xref,med
0x0c7090,LoadDroppedObjectEffects,,[GAME_WATER/LEVEL_DEATHSPLASH/LEVEL_DROPPEDOBJECTHIT/Particlez; CDroppedObject TU (ctor @0x0c68b0)],method,string-xref,med
0x0dfd00,LoadProjectileEffects,,[GRUNTZ_WINGZGRUNT_PROJECTILELOOP + GAME_WATER/LEVEL_DEATHSPLASH/Particlez; CProjectile TU (ctor @0x0dec60)],method,string-xref,med
0x0dca70,BuildAssetNamespacePrefixes,,[master ANIZ_/GRUNTZ_/IMAGEZ_/SOUNDZ_ asset-namespace prefix builder; CGruntzMgr region],free,string-xref,med
#
# === decomp-xref pass (Ghidra decompiler + caller/callee xrefs, not strings alone) ===
# Each row read from build/ghidra DecompExport.py output: confirms calling
# convention, arg count, virtual-slot identity (vfunc_N caller thunks), and the
# this+offset member writes / .att attr reads / callee roles. Lets us name object
# Init/LoadAttributes methods, CState-subclass virtuals, and CNetMgr config readers
# precisely -- and EXCLUDE library/ambiguous funcs strings would have mislabeled.
0x0fc1a0,CStaticHazard::LoadAttributes,CStaticHazard,void __thiscall(this) [reads static-hazard .att attrs into this+0x10..0x68; loads LEVEL_STATICHAZARD/GO/IDLE sprites],method,decomp-xref,high
0x0c62e0,CDroppedObjectShadow::LoadAttributes,CDroppedObjectShadow,__thiscall(this) [reads ObjectDropperDelay + Hazardz .att attrs into this+0x58..0x94; DroppedObjectShadow],method,decomp-xref,high
