source_enum	members	decision	current_enums	member_reuse	reason
include/Gruntz/BootyStateActivate.h:SecretBonusTier	SECRET_BONUS_TIER_ONE=1;SECRET_BONUS_TIER_TWO=2;SECRET_BONUS_TIER_THREE=3	retain	include/Gruntz/BootyStateActivate.h:SecretBonusTier		All evaluated equal-value and overlapping-domain rows were reviewed; SecretBonusTier has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BootyStateActivate.h:BootyEffectCount	BOOTY_EXPLOSION_COUNT=8	retain	include/Gruntz/BootyStateActivate.h:BootyEffectCount		All evaluated equal-value and overlapping-domain rows were reviewed; BootyEffectCount has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BrickTileId.h:BrickTileId	BRICKTILE_CLEARED=301;BRICKTILE_BROWN_1=303;BRICKTILE_BROWN_2=304;BRICKTILE_BROWN_3=305;BRICKTILE_RED_1=306;BRICKTILE_RED_2_LOW=307;BRICKTILE_RED_2_TOP=308;BRICKTILE_RED_3_LOW=309;BRICKTILE_RED_3_MID=310;BRICKTILE_RED_3_TOP=311;BRICKTILE_BLUE_1=312;BRICKTILE_BLUE_2_LOW=313;BRICKTILE_BLUE_2_TOP=314;BRICKTILE_BLUE_3_LOW=315;BRICKTILE_BLUE_3_MID=316;BRICKTILE_BLUE_3_TOP=317;BRICKTILE_GOLD_1=318;BRICKTILE_GOLD_2_LOW=319;BRICKTILE_GOLD_2_TOP=320;BRICKTILE_GOLD_3_LOW=321;BRICKTILE_GOLD_3_MID=322;BRICKTILE_GOLD_3_TOP=323;BRICKTILE_BLACK_1=324;BRICKTILE_BLACK_2_LOW=325;BRICKTILE_BLACK_2_TOP=326;BRICKTILE_BLACK_3_LOW=327;BRICKTILE_BLACK_3_MID=328;BRICKTILE_BLACK_3_TOP=329	retain	include/Gruntz/BrickTileId.h:BrickTileId		All evaluated equal-value and overlapping-domain rows were reviewed; BrickTileId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Brickz.h:BrickzCellMask	BRICKZ_BLOCKED_MASK=2361;BRICKZ_CELL_ROUTE_MASKB=8192;BRICKZ_CELL_OCCUPIED=536870912;BRICKZ_CELL_UNOCCUPIED_MASK=-536870913	retain	include/Gruntz/Brickz.h:BrickzCellMask		All evaluated equal-value and overlapping-domain rows were reviewed; BrickzCellMask has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Brickz.h:BrickStackRandomization	BRICK_COLOR_ROLL_PERCENT_MAX=100;BRICK_TWO_STACK_TOP_PERCENT=50;BRICK_THREE_STACK_LAYER_ROLL_MAX=600;BRICK_THREE_STACK_LOW_ROLL_MAX=200;BRICK_THREE_STACK_MIDDLE_ROLL_MAX=400	retain	include/Gruntz/Brickz.h:BrickStackRandomization		All evaluated equal-value and overlapping-domain rows were reviewed; BrickStackRandomization has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BridgeTileId.h:BridgeTileId	BRIDGETILE_WATER_UP=257;BRIDGETILE_WATER_DOWN=258;BRIDGETILE_DEATH_UP=259;BRIDGETILE_DEATH_DOWN=260;BRIDGETILE_WATER_UP_ALT=261;BRIDGETILE_DEATH_UP_ALT=262;BRIDGETILE_TOGGLE_WATER_UP=263;BRIDGETILE_TOGGLE_WATER_DOWN=264;BRIDGETILE_TOGGLE_DEATH_UP=265;BRIDGETILE_TOGGLE_DEATH_DOWN=266	retain	include/Gruntz/BridgeTileId.h:BridgeTileId		All evaluated equal-value and overlapping-domain rows were reviewed; BridgeTileId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/CardinalDir.h:CardinalDir	CARDINAL_NORTH=1;CARDINAL_EAST=2;CARDINAL_SOUTH=3;CARDINAL_WEST=4;CARDINAL_FIRST=1;CARDINAL_LAST=4;CARDINAL_COUNT=4	retain	include/Gruntz/CardinalDir.h:CardinalDir		All evaluated equal-value and overlapping-domain rows were reviewed; CardinalDir has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ChatBoxOwner.h:ChatBoxLayout	CHATBOX_WITH_RIGHT_STATUSBAR=1;CHATBOX_WITH_LEFT_STATUSBAR=2;CHATBOX_WITH_HIDDEN_STATUSBAR=3	retain	include/Gruntz/ChatBoxOwner.h:ChatBoxLayout		All evaluated equal-value and overlapping-domain rows were reviewed; ChatBoxLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ColorTint.h:ColorTint	TINT_ORANGE=0;TINT_GREEN=1;TINT_BLUE=2;TINT_RED=3;TINT_PURPLE=4;TINT_YELLOW=5;TINT_HOTPINK=6;TINT_BLACK=7;TINT_DKBLUE=8;TINT_DKGREEN=9;TINT_TURQ=10;TINT_DKRED=11;TINT_PINK=12;TINT_DKYELLOW=13;TINT_GREY=14;TINT_CYAN=15;TINT_WHITE=16	canonical	include/Gruntz/ColorTint.h:ColorTint		Six sprite-tint consumers and the font payload switch use the same complete 17-color ordering; ColorTint is the shared semantic domain.
include/Gruntz/ColorTint.h:ColorTintConstants	TINT_COUNT=17	retain	include/Gruntz/ColorTint.h:ColorTintConstants		The count is the bound of the canonical ColorTint domain and is not a transported member of another enum.
include/Gruntz/CustomMapSelection.h:CustomMapSelection	CUSTOM_MAP_STANDARD=0;CUSTOM_MAP_SELECTED=1;CUSTOM_MAP_UNINITIALIZED=2	retain	include/Gruntz/CustomMapSelection.h:CustomMapSelection		All evaluated equal-value and overlapping-domain rows were reviewed; CustomMapSelection has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/CustomWorldDialog.h:CustomWorldCtrlId	CTRL_CUSTOM_WORLD_LIST=1020;CTRL_CUSTOM_WORLD_INFO=1066	retain	include/Gruntz/CustomWorldDialog.h:CustomWorldCtrlId		All evaluated equal-value and overlapping-domain rows were reviewed; CustomWorldCtrlId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/DebugDisplayFlags.h:DebugDisplayFlags	DEBUG_DISPLAY_NONE=0;DEBUG_DISPLAY_OBJECT_COUNT=1;DEBUG_DISPLAY_NETWORK_COUNTERS=2;DEBUG_DISPLAY_WORLD_POSITION=4;DEBUG_DISPLAY_PROFILE_TEXT=8;DEBUG_DISPLAY_FRAME_RATE=16;DEBUG_DISPLAY_SUPPRESS=32;DEBUG_DISPLAY_TIMING=64;DEBUG_DISPLAY_ELAPSED_TIME=128;DEBUG_DISPLAY_TIMING_ALTERNATE=256;DEBUG_DISPLAY_FRAME_RATE_LIMIT=512;DEBUG_DISPLAY_BUILD_INFO=1024	retain	include/Gruntz/DebugDisplayFlags.h:DebugDisplayFlags		All evaluated equal-value and overlapping-domain rows were reviewed; DebugDisplayFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/DemoMoverState.h:DemoMoverState	DEMO_MOVER_CHOOSE_TARGET=0;DEMO_MOVER_SCROLL_TO_TARGET=1	retain	include/Gruntz/DemoMoverState.h:DemoMoverState		All evaluated equal-value and overlapping-domain rows were reviewed; DemoMoverState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/DestructWarningState.h:DestructWarningState	DESTRUCT_WARNING_INACTIVE=0;DESTRUCT_WARNING_FORWARD=1;DESTRUCT_WARNING_REVERSE=2	retain	include/Gruntz/DestructWarningState.h:DestructWarningState		All evaluated equal-value and overlapping-domain rows were reviewed; DestructWarningState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/DestructWarningState.h:DestructButtonFrame	DESTRUCT_FRAME_IDLE=1;DESTRUCT_FRAME_WARNING_FIRST=2;DESTRUCT_FRAME_WARNING_LAST=6;DESTRUCT_FRAME_DISABLED=7	retain	include/Gruntz/DestructWarningState.h:DestructButtonFrame		All evaluated equal-value and overlapping-domain rows were reviewed; DestructButtonFrame has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Dialogs.h:DialogCtrlId	CTRL_PLAYER_TYPE0=1280;CTRL_PLAYER_COLOR0=1281;CTRL_PLAYER_COLOR1=1283;CTRL_PLAYER_COLOR2=1285;CTRL_PLAYER_COLOR3=1287;CTRL_PLAYER_NAME0=1290;CTRL_PLAYER_NAME1=1291;CTRL_PLAYER_NAME2=1292;CTRL_PLAYER_NAME3=1293;CTRL_PLAYER_TYPE1=1294;CTRL_PLAYER_TYPE2=1295;CTRL_PLAYER_TYPE3=1296;CTRL_PLAYER_MAX_GRUNTZ0=1310;CTRL_PLAYER_READY0=1311;CTRL_PLAYER_MAX_GRUNTZ1=1312;CTRL_PLAYER_MAX_GRUNTZ2=1313;CTRL_PLAYER_MAX_GRUNTZ3=1314;CTRL_PLAYER_READY1=1315;CTRL_PLAYER_READY2=1316;CTRL_PLAYER_READY3=1317;CTRL_PLAYER_LATENCY_VALUE0=1329;CTRL_PLAYER_LATENCY_VALUE1=1330;CTRL_PLAYER_LATENCY_VALUE2=1331;CTRL_PLAYER_LATENCY_UNIT0=1332;CTRL_PLAYER_LATENCY_VALUE3=1333;CTRL_PLAYER_LATENCY_UNIT1=1334;CTRL_PLAYER_LATENCY_UNIT2=1335;CTRL_PLAYER_LATENCY_UNIT3=1336	retain	include/Gruntz/Dialogs.h:DialogCtrlId		All evaluated equal-value and overlapping-domain rows were reviewed; DialogCtrlId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Dialogs.h:ColorDlgCtrlId	CTRL_COLOR_LIST=1301	retain	include/Gruntz/Dialogs.h:ColorDlgCtrlId		All evaluated equal-value and overlapping-domain rows were reviewed; ColorDlgCtrlId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Dialogs.h:MultiStartTimerId	MULTI_START_WATCHDOG_TIMER=1	retain	include/Gruntz/Dialogs.h:MultiStartTimerId		All evaluated equal-value and overlapping-domain rows were reviewed; MultiStartTimerId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/DirectionRingIndex.h:DirectionRingIndex	DIRECTION_RING_NORTH=0;DIRECTION_RING_NORTHEAST=1;DIRECTION_RING_EAST=2;DIRECTION_RING_SOUTHEAST=3;DIRECTION_RING_SOUTH=4;DIRECTION_RING_SOUTHWEST=5;DIRECTION_RING_WEST=6;DIRECTION_RING_NORTHWEST=7	retain	include/Gruntz/DirectionRingIndex.h:DirectionRingIndex		All evaluated equal-value and overlapping-domain rows were reviewed; DirectionRingIndex has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/EnemyAiType.h:EnemyAiType	AI_NONE=0;AI_DUMBCHASER=1;AI_SMARTCHASER=2;AI_HITANDRUNNER=3;AI_DEFENDER=4;AI_POSTGUARD=5;AI_OBJECTGUARD=6;AI_BOMBER=7;AI_BRICKLAYER=8;AI_GAUNTLETZGRUNT=9;AI_GOOSUCKER=10;AI_DIGGER=11;AI_TIMEBOMBER=12;AI_TOOLTHIEF=13;AI_TOYER=14;AI_MAGICWANDGRUNT=15;AI_SCROLLGRUNT=16;AI_BATTLEZ_PATH=17	retain	include/Gruntz/EnemyAiType.h:EnemyAiType		All evaluated equal-value and overlapping-domain rows were reviewed; EnemyAiType has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ErrorStringId.h:ErrorStringId	IDS_SET_GAME_STATE=32773;IDS_RESTORE_GAME=32774;IDS_CHANGE_LEVEL=32775;IDS_SET_VIDEO_MODE=32776;IDS_DEFAULT_ERROR=32777;IDS_INITIALIZE_GAME=32778;IDS_LOAD_RESOURCE_FILE=32779;IDS_WORLD_UNKNOWN=32785;IDS_WORLD_SOUND_REGISTRY=32786;IDS_WORLD_SOUND_OUTPUT=32787;IDS_WORLD_CREATE_DEVICE=32788;IDS_WORLD_CREATE_PAGES=32789;IDS_WORLD_CREATE_PALETTE_SURFACE=32790;IDS_WORLD_OVERLAY_SURFACE=32791;IDS_WORLD_BACK_SURFACE=32792;IDS_WORLD_FRONT_SURFACE=32793;IDS_WORLD_DDRAW_COLOR_MASKS=32794;IDS_WORLD_DDRAW_DISPLAY_MODE=32795;IDS_WORLD_DDRAW_CAPABILITIES=32796;IDS_WORLD_DDRAW_COOPERATIVE_LEVEL=32797;IDS_WORLD_DDRAW_CREATE=32798;IDS_CHANGE_COLOR_DEPTH=32799;IDS_LOAD_VOICE_RESOURCE_FILE=33097	retain	include/Gruntz/ErrorStringId.h:ErrorStringId		All evaluated equal-value and overlapping-domain rows were reviewed; ErrorStringId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FaderConfigKind.h:FaderConfigKind	FADER_CONFIG_UNTAGGED=0;FADER_CONFIG_SHAPE=1;FADER_CONFIG_LIGHT=2;FADER_CONFIG_SINE=3;FADER_CONFIG_RADIAL=4;FADER_CONFIG_FLAT=5;FADER_CONFIG_MESH=6	retain	include/Gruntz/FaderConfigKind.h:FaderConfigKind		All evaluated equal-value and overlapping-domain rows were reviewed; FaderConfigKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FaderKind.h:FaderKind	FADERKIND_SHAPE=0;FADERKIND_LIGHT=1;FADERKIND_SINE=2;FADERKIND_RADIAL=3;FADERKIND_FLAT=4;FADERKIND_MESH=5;FADERKIND_COUNT=6	retain	include/Gruntz/FaderKind.h:FaderKind		All evaluated equal-value and overlapping-domain rows were reviewed; FaderKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FaderMode.h:FaderMode	FADER_INVALID=0;FADER_SWEEP_FORWARD=1;FADER_SWEEP_REVERSE=2;FADER_SPLIT_FROM_CENTER=3;FADER_COUNT=4	retain	include/Gruntz/FaderMode.h:FaderMode		All evaluated equal-value and overlapping-domain rows were reviewed; FaderMode has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FinishLevelReason.h:FinishLevelReason	FINISH_REASON_NONE=0;FINISH_REASON_WARPSTONE_EXIT=1;FINISH_REASON_BATTLEZ_VICTORY=2;FINISH_REASON_NO_GRUNTZ_REMAIN=3;FINISH_REASON_TIME_EXPIRED=4;FINISH_REASON_BATTLEZ_DEFEAT=5;FINISH_REASON_WARPSTONE_RESET=6	retain	include/Gruntz/FinishLevelReason.h:FinishLevelReason		All evaluated equal-value and overlapping-domain rows were reviewed; FinishLevelReason has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FinishLevelReason.h:FinishLevelState	FINISH_STATE_ACTIVE=0;FINISH_STATE_VICTORY=1;FINISH_STATE_DEFEAT=2	retain	include/Gruntz/FinishLevelReason.h:FinishLevelState		All evaluated equal-value and overlapping-domain rows were reviewed; FinishLevelState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/FontConfig.h:FontItemFlags	FONT_ITEM_FLAGS_NONE=0;FONT_ITEM_PREPEND=2;FONT_ITEM_CLEAR_EXISTING=4;FONT_ITEM_COLORED=16;FONT_ITEM_SHADOW=32	retain	include/Gruntz/FontConfig.h:FontItemFlags		All evaluated equal-value and overlapping-domain rows were reviewed; FontItemFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GameIconFlashState.h:GameIconFlashState	GAME_ICON_FLASH_IDLE=0;GAME_ICON_FLASH_ACTIVE=5	retain	include/Gruntz/GameIconFlashState.h:GameIconFlashState		All evaluated equal-value and overlapping-domain rows were reviewed; GameIconFlashState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GameLevel.h:LevelPlaneLayout	LEVEL_EXTENDED_PLANE_COUNT=4	retain	include/Gruntz/GameLevel.h:LevelPlaneLayout		All evaluated equal-value and overlapping-domain rows were reviewed; LevelPlaneLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GameModeId.h:GameModeId	GAMEMODE_NONE=0;GAMEMODE_QUESTZ=1;GAMEMODE_MULTIPLAYER=2;GAMEMODE_BATTLEZ=3	retain	include/Gruntz/GameModeId.h:GameModeId		All evaluated equal-value and overlapping-domain rows were reviewed; GameModeId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GameStateId.h:GameStateId	GAMESTATE_NONE=0;GAMESTATE_BASE=1;GAMESTATE_ATTRACT=2;GAMESTATE_PLAY=3;GAMESTATE_MENU=5;GAMESTATE_CREDITS=8;GAMESTATE_BOOTY=10;GAMESTATE_CREDITS_OVER_CURRENT=11;GAMESTATE_BOOTY_OVER_CURRENT=13;GAMESTATE_DEMO=7;GAMESTATE_HELP=9;GAMESTATE_SPLASH=14;GAMESTATE_RESERVED_0F=15;GAMESTATE_LEVEL_SELECT=16;GAMESTATE_MULTI=17;GAMESTATE_MULTIBOOTY=18	retain	include/Gruntz/GameStateId.h:GameStateId		All evaluated equal-value and overlapping-domain rows were reviewed; GameStateId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GameStats.h:BattlezPlayerCount	BZ_PLAYER_COUNT=4	reuse	include/Gruntz/PlayerSlot.h:PlayerSlotConstants	BZ_PLAYER_COUNT=include/Gruntz/PlayerSlot.h:PlayerSlotConstants::PLAYER_SLOT_COUNT	The GameStats arrays and loops are indexed by the same four player slots used by maps, dialogs, and network players.
include/Gruntz/GameTabContent.h:GameTabContent	GAME_TAB_MENU=5;GAME_TAB_MISSION_STATUS=507	retain	include/Gruntz/GameTabContent.h:GameTabContent		All evaluated equal-value and overlapping-domain rows were reviewed; GameTabContent has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntCombatScan	GRUNT_COMBAT_FULL_SCAN_HITS=5	retain	include/Gruntz/Grunt.h:GruntCombatScan		All evaluated equal-value and overlapping-domain rows were reviewed; GruntCombatScan has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntIdleVariant	GRUNT_IDLE_VARIANT_PRIMARY=1;GRUNT_IDLE_VARIANT_SECONDARY=2	retain	include/Gruntz/Grunt.h:GruntIdleVariant		All evaluated equal-value and overlapping-domain rows were reviewed; GruntIdleVariant has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntDirectionGrid	GRUNT_DIRECTION_GRID_LOW=0;GRUNT_DIRECTION_GRID_CENTER=1;GRUNT_DIRECTION_GRID_HIGH=2;GRUNT_DIRECTION_GRID_WIDTH=3	retain	include/Gruntz/Grunt.h:GruntDirectionGrid		All evaluated equal-value and overlapping-domain rows were reviewed; GruntDirectionGrid has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntArrivalTag	ARRIVAL_TAG_NONE=0;ARRIVAL_TAG_TRIGGER_A=2;ARRIVAL_TAG_TRIGGER_B=3	retain	include/Gruntz/Grunt.h:GruntArrivalTag		All evaluated equal-value and overlapping-domain rows were reviewed; GruntArrivalTag has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:NameSlot	NAME_ATTACK=0;NAME_STRUCK=1;NAME_WALK=2;NAME_IDLE=3;NAME_ITEM=4;NAME_COUNT=5	retain	include/Gruntz/Grunt.h:NameSlot		All evaluated equal-value and overlapping-domain rows were reviewed; NameSlot has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntAttackPose	GRUNT_ATTACK1=0;GRUNT_ATTACK2=1	retain	include/Gruntz/Grunt.h:GruntAttackPose		All evaluated equal-value and overlapping-domain rows were reviewed; GruntAttackPose has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntStruckPose	GRUNT_STRUCK1=0;GRUNT_STRUCK2=1	retain	include/Gruntz/Grunt.h:GruntStruckPose		All evaluated equal-value and overlapping-domain rows were reviewed; GruntStruckPose has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntIdlePose	GRUNT_IDLE1=0;GRUNT_IDLE2=1;GRUNT_IDLE3=2;GRUNT_IDLE4=3;GRUNT_IDLE5=4	retain	include/Gruntz/Grunt.h:GruntIdlePose		All evaluated equal-value and overlapping-domain rows were reviewed; GruntIdlePose has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntToyPose	GRUNT_TOY1=0;GRUNT_TOY2=1;GRUNT_TOY_BREAK=2	retain	include/Gruntz/Grunt.h:GruntToyPose		All evaluated equal-value and overlapping-domain rows were reviewed; GruntToyPose has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Grunt.h:GruntItemPose	GRUNT_ITEM1=0;GRUNT_ITEM2=1	retain	include/Gruntz/Grunt.h:GruntItemPose		All evaluated equal-value and overlapping-domain rows were reviewed; GruntItemPose has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntAiState.h:GruntDwellMs	DWELL_REPATH_MS=500;DWELL_SEEK_PATH_MS=1000;DWELL_STUCK_RESET_MS=3000;DWELL_COOLDOWN_MS=8000	retain	include/Gruntz/GruntAiState.h:GruntDwellMs		All evaluated equal-value and overlapping-domain rows were reviewed; GruntDwellMs has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntAiState.h:GruntAiState	AISTATE_SEEK=0;AISTATE_CHASE=1;AISTATE_ATTACK=2;AISTATE_RETURN=3;AISTATE_COOLDOWN=4;AISTATE_RETREAT=5;AISTATE_BATTLEZ_ROUTE_TARGET=6;AISTATE_BATTLEZ_FINAL_ROUTE=7;AISTATE_PHASE_MIRROR_THEN_COOLDOWN=25;AISTATE_PHASE_MIRROR_THEN_SEEK=26	retain	include/Gruntz/GruntAiState.h:GruntAiState		All evaluated equal-value and overlapping-domain rows were reviewed; GruntAiState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntAreaEffectKind.h:GruntAreaEffectKind	GRUNT_AREA_EFFECT_DROP=1;GRUNT_AREA_EFFECT_TELEPORT=2;GRUNT_AREA_EFFECT_HEAL=3;GRUNT_AREA_EFFECT_FREEZE=4;GRUNT_AREA_EFFECT_GIVE_TOY=5;GRUNT_AREA_EFFECT_EXPLODE=6;GRUNT_AREA_EFFECT_SQUASH=7	retain	include/Gruntz/GruntAreaEffectKind.h:GruntAreaEffectKind		All evaluated equal-value and overlapping-domain rows were reviewed; GruntAreaEffectKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntCombatDirection.h:WingzKnockbackChoice	WINGZ_KNOCKBACK_NORTHEAST=0;WINGZ_KNOCKBACK_EAST=1;WINGZ_KNOCKBACK_SOUTHEAST=2;WINGZ_KNOCKBACK_SOUTH=3;WINGZ_KNOCKBACK_SOUTHWEST=4;WINGZ_KNOCKBACK_WEST=5;WINGZ_KNOCKBACK_NORTHWEST=6	retain	include/Gruntz/GruntCombatDirection.h:WingzKnockbackChoice		All evaluated equal-value and overlapping-domain rows were reviewed; WingzKnockbackChoice has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntDeathType.h:GruntDeathType	DEATH_NONE=-1;DEATH_DROP=0;DEATH_NORMAL=1;DEATH_SQUASH=2;DEATH_HOLE=3;DEATH_SINK=4;DEATH_MELT=5;DEATH_SHATTER=6;DEATH_BURN=7;DEATH_FALL=8;DEATH_ELECTROCUTE=9;DEATH_KAROKE=10;DEATH_EXPLODE=11;DEATH_DRAIN=12;DEATH_EXIT=13;DEATH_FALL2=14;DEATH_QUICKFALL=15;GRUNT_DEATH_WARPOUT=12	retain	include/Gruntz/GruntDeathType.h:GruntDeathType		All evaluated equal-value and overlapping-domain rows were reviewed; GruntDeathType has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntDirection.h:GruntDirection	DIR_CENTER=0;DIR_NORTH=1;DIR_NORTHEAST=2;DIR_EAST=3;DIR_SOUTHEAST=4;DIR_SOUTH=5;DIR_SOUTHWEST=6;DIR_WEST=7;DIR_NORTHWEST=8;DIR_RING_COUNT=8;DIR_COUNT=9	retain	include/Gruntz/GruntDirection.h:GruntDirection		All evaluated equal-value and overlapping-domain rows were reviewed; GruntDirection has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntEntranceMode.h:GruntEntranceMode	GRUNT_ENTRANCE_NONE=0;GRUNT_ENTRANCE_RESURRECT_DIRECT=0;GRUNT_ENTRANCE_WORMHOLE=1;GRUNT_ENTRANCE_DROP=2;GRUNT_ENTRANCE_RESURRECT=3	retain	include/Gruntz/GruntEntranceMode.h:GruntEntranceMode		All evaluated equal-value and overlapping-domain rows were reviewed; GruntEntranceMode has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntIdentity.h:GruntIdentityPacking	GRUNT_IDENTITY_COMPONENT_MASK=255;GRUNT_IDENTITY_PLAYER_SHIFT=8	retain	include/Gruntz/GruntIdentity.h:GruntIdentityPacking		All evaluated equal-value and overlapping-domain rows were reviewed; GruntIdentityPacking has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntVoice.h:<anonymous:VOICE_INDICATOR_AT_LOGIC_OBJECT>	VOICE_INDICATOR_AT_LOGIC_OBJECT=0;VOICE_INDICATOR_AT_IMAGE_ORIGIN=1	retain	include/Gruntz/GruntVoice.h:<anonymous:VOICE_INDICATOR_AT_LOGIC_OBJECT>		All evaluated equal-value and overlapping-domain rows were reviewed; VOICE_INDICATOR_AT_LOGIC_OBJECT> has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntzCommand.h:GruntzCommandRecordKind	COMMAND_RECORD_INVALID=0;COMMAND_RECORD_SINGLE=1;COMMAND_RECORD_MULTI=2	retain	include/Gruntz/GruntzCommand.h:GruntzCommandRecordKind		All evaluated equal-value and overlapping-domain rows were reviewed; GruntzCommandRecordKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/GruntzCommand.h:GruntzCommandSubmitFlags	COMMAND_SUBMIT_SCHEDULED=1;COMMAND_SUBMIT_IMMEDIATE=2;COMMAND_SUBMIT_PENDING_SLOT=4	retain	include/Gruntz/GruntzCommand.h:GruntzCommandSubmitFlags		All evaluated equal-value and overlapping-domain rows were reviewed; GruntzCommandSubmitFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
